Nome,Categoria,Raridade,Efeito,Efeito_Jogador,Valor (Sins),Obtenção,Tipo de Craft,Ingredientes,Tags,Lore/Notas,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18
Anel de Proteção Elemental,Item Mágico,Exótico,"Ae(elemento à escolha, 4) permanente enquanto vestido. Tipo de dano alterável a cada descanso longo.",,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Elmo da Clareza,Item Mágico,Exótico,Imune a Confuso e Desorientado enquanto vestido.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Cinto da Vitalidade,Item Mágico,Exótico,+10 de Saúde máxima enquanto vestido.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Cinturão do Colosso,Item Mágico,Exótico,+2 Força. Conta como +1 categoria de tamanho para manobras.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Manopla do Trovão,Item Mágico,Exótico,1x por descanso curto: empurrão mágico 6m. Fort ou Caído.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Corrente da Alma,Item Mágico,Exótico,Recupera 1d4 Éter ao derrubar um inimigo. Passiva.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Anel do Esgrimista,Item Mágico,Exótico,+2 Atacar permanente. Só funciona com arma leve.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Talismã da Vontade,Item Mágico,Exótico,+2 Vontade. Vantagem contra Enfeitiçado.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Óculos do Investigador,Item Mágico,Exótico,+4 Investigação. Vê através de ilusões simples.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Amuleto de Retorno,Item Mágico,Exótico,1x por descanso longo: teleporta para um ponto definido previamente em até 10 km.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Garrafa de Rum Forte,Bugiganga,Incomum,"Consumível: +2 Vontade, -1 Percepção por 1h.",,5d6+15,"Drop CR≥3, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Emplastro de Regeneração,Consumível,Incomum,Cura 1d4 de Saúde por turno durante 3 rodadas. 1x/Combate,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Kit de Disfarce,Bugiganga,Incomum,+4 Engação para se disfarçar. 3 usos.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Crime,,,,,,,,,,,,,,,,,,,
Tinta de Cegueira,Consumível,Incomum,"Arremesso 4,5m. Reflexo ou Cego por 2 rodadas.",,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Água-Régia,Consumível,Incomum,Dissolve metal mundano. Abre fechaduras de metal.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Kit de Crime,Bugiganga,Incomum,Lockpicks. +2 Crime por 1 cena. 5 usos.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Crime,,,,,,,,,,,,,,,,,,,
Bola de Eletricidade,Consumível,Incomum,2d6 Elétrico. Contra alvo de metal: +1d6 e Atordoado.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Café Concentrado,Consumível,Incomum,+2 Iniciativa no próximo combate.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,Uso Único,,,,,,,,,,,,,,,,,,,
Corda Reforçada (15m),Bugiganga,Incomum,Aguenta 300kg. 15 metros.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Travessia,,,,,,,,,,,,,,,,,,,
Espuma Seladora,Consumível,Incomum,Sela buracos até 50cm. Cria cobertura improvisada.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Conta-gotas de Purificação,Bugiganga,Ordinário,Purifica 1 litro de água. 3 usos por descanso longo.,,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Ferramentas de Escoteiro,Bugiganga,Ordinário,Gera 1 Comida por descanso longo.,,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Cola Universal,Consumível,Incomum,Gruda superfícies. CD 20 de Força para separar.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Tônico Anti-Exaustão,Consumível,Incomum,Remove 1 nível de Exaustão. 1x por descanso longo.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Antídoto Universal,Consumível,Incomum,"Remove Envenenado, Enjoado ou uma doença.",,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Luneta,Bugiganga,Incomum,+4 Percepção à distância.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Exploração,,,,,,,,,,,,,,,,,,,
Algemas de Ferro,Bugiganga,Incomum,Prende criatura Média. Crime CD 18 para abrir.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Crime,,,,,,,,,,,,,,,,,,,
Solvente Universal,Consumível,Incomum,Dissolve cola/resina. Remove a condição Enraizado.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Corda Líquida,Consumível,Incomum,Enrijece em 6 segundos formando uma corda de 9m.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Catalisador Térmico,Consumível,Incomum,Mantém a temperatura de um objeto/local fixa por 24h.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Lanterna de Óleo,Bugiganga,Incomum,Lanterna a óleo. Luz 9m por 8h a cada frasco de óleo.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Madeira Nobre,Luz,,,,,,,,,,,,,,,,,,,
Pó Revelador,Consumível,Incomum,Revela magia remanescente em uma área por 1h.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Giz Luminescente,Bugiganga,Ordinário,Traços brilham no escuro por 24h. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Pedra Aquecedora,Bugiganga,Ordinário,"Pedra que esquenta ao toque. Previne frio (conforto, não armadura).",,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Bomba de Concussão,Consumível,Incomum,1d6 Contundente em 3m. Fort ou Surdo por 1 min.,,5d6+15,"Alquimista, Drop CR≥3, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Ferramentas de Artesão,Bugiganga,Incomum,+2 Ofício(Engenharia) enquanto equipado.,,5d6+15,"Drop CR≥3, Loja",Engenharia,1x Engrenagem,Ferramentas,,,,,,,,,,,,,,,,,,,
Pena Auto-Escrevente,Bugiganga,Ordinário,Transcreve voz em texto. 10 min por descanso longo.,,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Granada Tóxica,Consumível,Exótico,Arremesso 9m. Nuvem 3m: 1d8 Veneno por turno + Enjoado.,,6d10+40,"Alquimista, Drop CR≤2",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Óleo Corrosivo,Consumível,Exótico,Aplicado em arma: ignora 3 de Armadura por 3 ataques.,,6d10+40,"Alquimista, Drop CR≤2, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Óleo",,,,,,,,,,,,,,,,,,,
Marcador Rastreável,Consumível,Exótico,Líquido invisível. Detectável a 100m por 24h.,,6d10+40,"Drop CR≤2, Drop CR≥3",Não-craftável,,"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Detector de Magia,Consumível,Exótico,Frasco brilha azul perto de magia. Dura 1h.,,6d10+40,"Drop CR≤2, Drop CR≥3",Não-craftável,,"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Veneno Padrão,Consumível,Exótico,Arma: +1d6 Veneno por 3 ataques. Fort ou Envenenado. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,"Alquimista, Drop CR≤2, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Espelho Comunicante (Quebrado),Bugiganga,Ordinário,Fragmento. Mostra reflexos de 5 min atrás.,,2d10,Loja,Engenharia,1x Peça Mecânica,Utilidade,,,,,,,,,,,,,,,,,,,
Pó Explosivo,Consumível,Exótico,3m de área. 3d6 Fogo. Pode ser usado como armadilha.,,6d10+40,"Alquimista, Drop CR≤2",Alquimia,3x Reagente Alquímico (x1),"Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Sonífero,Consumível,Exótico,Ingerido ou inalado. Vontade ou Adormecido por 1h.,,6d10+40,"Alquimista, Drop CR≤2, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Elixir das Guelras,Consumível,Exótico,Respira debaixo d'água por 30 min.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir do Encolhimento,Consumível,Exótico,"-1 tamanho, +2 Furtividade, +2 Destreza. Dura 1 min.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir Aranha,Consumível,Exótico,Escala superfícies como aranha por 10 min.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir da Visão Verdadeira,Consumível,Exótico,"Vê ilusões, invisibilidade e escuridão mágica. Dura 1 min.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir do Crescimento,Consumível,Exótico,"+1 tamanho, +1d4 dano, +2 Força. Dura 1 min.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Extrato de Velocidade,Consumível,Exótico,+1 Ação por turno durante 3 turnos. Depois Exausto 1.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Óleo do Caçador,Consumível,Exótico,"+2 Atacar, +2d6 dano contra 1 criatura escolhida. Dura 1h.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Óleo",,,,,,,,,,,,,,,,,,,
Bomba de Fragmentação,Consumível,Exótico,"4d6 Perfurante em 4,5m. Reflexo para metade.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Frasco do Raio,Consumível,Exótico,3d8 Elétrico. Salta para 2 alvos próximos (2d8 cada).,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Adrenalina de Campo,Consumível,Exótico,Inconsciente acorda com 50% de Saúde. Fica Exausto 1.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Soro da Verdade,Consumível,Exótico,Ingerido. Vontade ou não consegue mentir por 10 min.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Gás Necrótico,Consumível,Exótico,Nuvem 6m. 2d8 Necrótico por turno. Impede cura na área.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Tintura Fantasma,Consumível,Exótico,Fica translúcido. +4 Furtividade. Dura 1 min.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir das Línguas,Consumível,Exótico,Entende qualquer idioma falado por 1h.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Napalm Alquímico (área),Consumível,Exótico,3d6 Fogo em 3m. Queima 2d6/turno por 3 rodadas. Água não apaga.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Bomba de Vácuo,Consumível,Exótico,2d10 Força em 3m. Puxa alvos 3m para o centro.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Mutagênico Menor,Consumível,Exótico,"+4 em um atributo, -2 em outro. Dura 10 min.",,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Veneno Paralisante,Consumível,Exótico,1 ataque. Fort ou Paralisado por 2 rodadas.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Veneno Hemorrágico,Consumível,Exótico,+2d6 Bio por 3 ataques. Alvo Sangra 1d6/turno por 3 rodadas.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Bomba de Éter,Consumível,Exótico,Drena 1d6 Éter de alvos em 3m. Conjurador recupera metade.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Besta Incendiária,Arma,Exótico,"Distância Pesada. 1d10 + 1d6 Fogo. Crítico no 8. Crítico: cria área Em Chamas de 1,5m. 18m. Requer Treinado à Distância. Crítico de 8 (em vez de 10). Alcance 18m.",,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,Engenho de cerco de Khaskavel adaptado para virotes incendiários.,,,,,,,,,,,,,,,,,,
Estilhaços do Abismo,Arma,Exótico,"Arremesso. 1d4 + 1d6 Primordial. Ignora Ae do alvo. +1d4 a menos de 3m. Requer Des ≥ 14. Empilhável: pesa 1 bugiganga a cada 10 unidades. Se a menos de 3m do alvo, +1d4 de dano. Alcance 9m.",,6d10+40,Drop CR≥3,Não-craftável,,"Arremesso, Munição",Lascas da prisão de Osh'Kar; cortam o véu entre os planos.,,,,,,,,,,,,,,,,,,
Escudo Rúnico,Escudo,Exótico,+3 Defender. 1x por combate: absorve completamente 1 magia.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Escudo,,,,,,,,,,,,,,,,,,,
Escudo Espelhado,Escudo,Exótico,+3 Defender. 1x por combate: reflete um projétil mágico de volta.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Escudo,,,,,,,,,,,,,,,,,,,
Toxina Mental,Consumível,Exótico,1 ataque. Vontade ou Confuso por 1 min.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Bastão de Karmath,Arma,Exótico,Marcial Versátil. 1d8 + 1d6 Radiante. +1d6 contra Corrompidos e Mortos-Vivos. Requer Treinado em Marciais.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,Abençoado por paladinos de Karmath; pune a corrupção com luz.,,,,,,,,,,,,,,,,,,
Sangue Falso,Consumível,Exótico,Finge morte de forma convincente. Medicina CD 18 para perceber a farsa.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Estilete do Sonhador,Arma,Exótico,Leve Perfurante. 1d4 + 1d6 Psíquico. Ignora 1 de Evasão. Crítico: Confuso por 1 rodada. Requer Des ≥ 12.,,6d10+40,Drop CR≥3,Não-craftável,,,Forjado com matéria onde o Sonhador toca; fere a mente antes da carne.,,,,,,,,,,,,,,,,,,
Marreta Volkrestiana,Arma,Exótico,"Pesada Brutal. 2d6 + 1d6 Trovejante. Crítico: empurra 3m + Caído. Requer For ≥ 14. Ao rolar 2 dados iguais, +1d6.",,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,Maquinário de guerra do Império de Ferro; cada golpe ribomba como um trovão.,,,,,,,,,,,,,,,,,,
Ácido Dimensional,Consumível,Exótico,Corrói barreiras mágicas. Anula 1 barreira de magia.,,6d10+40,"Alquimista, Drop CR≥3",Alquimia,3x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Foice da Praga,Arma,Exótico,Pesada Cortante. 1d12 + 1d6 Necrótico. Reduz cura recebida pelo alvo pela metade por 1 rodada. Requer For ≥ 12. Aplica Sangramento 1 no Crítico.,,6d10+40,Drop CR≥3,Não-craftável,,,Forjada por revavenanos radicais que veem a Vhelor como Praga; a lâmina apodrece o que corta.,,,,,,,,,,,,,,,,,,
Arma Leve Cortante +2,Arma,Exótico,Leve Cortante. 3d6+2. +4 em Atacar. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Leve Cortante +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Manopla Trovejante,Item Mágico,Exótico,1x por descanso longo: seu próximo ataque corpo a corpo causa +2d6 Trovejante e empurra o alvo 3m (Fortitude resiste).,,6d10+40,"Drop, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Olho do Tirano,Item Mágico,Exótico,"Ao reduzir um inimigo a 0 de Saúde, seu próximo ataque causa dano máximo nos dados. 1x por descanso longo.",,6d10+40,"Drop, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Adaga Espelhada,Item Mágico,Exótico,"Quando você causa dano crítico, repete metade do dano (arredondado para baixo) a um inimigo adjacente ao alvo.",,6d10+40,"Drop, Loja",Não-craftável,,Dano,,,,,,,,,,,,,,,,,,,
Estandarte de Bolso,Item Mágico,Exótico,"Aliados a 4,5m ganham +1 em testes de Resistência enquanto você não estiver Caído.",,6d10+40,"Drop, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Cálice da Partilha,Item Mágico,Exótico,"Quando você se cura, um aliado a 9m recupera metade desse valor.",,6d10+40,"Drop, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Talismã da Seiva,Item Mágico,Exótico,Regenera 2 de Saúde por turno fora de combate. Imune a Sangramento. Requisito: Marca da Vhelor 2 ou mais.,Regenera 2 de Saúde por turno fora de combate. Imune a Sangramento. Só responde a quem já foi tocado pela seiva pálida.,6d10+40,"Drop, Loja",Não-craftável,,Sobrevivência,Goteja seiva pálida da Vhelor.,,,,,,,,,,,,,,,,,,
Manto do Espinho,Item Mágico,Exótico,Atacantes corpo a corpo recebem 1d4 Perfurante.,,6d10+40,"Drop, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Capa do Salto,Item Mágico,Exótico,Triplica a distância de salto. 1x por descanso longo: cai de qualquer altura sem dano e em pé.,,6d10+40,"Drop, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Máscara dos Mil Rostos,Item Mágico,Exótico,"1x por descanso longo: altera a própria aparência por 1 hora (como Disfarce Ilusório, intensidade Normal).",,6d10+40,"Drop, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Anel de Calor Menor,Item Mágico,Incomum,"Ae(Frio, 2) permanente enquanto vestido.",,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Diadema do Foco,Item Mágico,Incomum,+1 Vontade permanente enquanto vestido.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Amuleto de Visão Noturna,Item Mágico,Incomum,Visão no Escuro 12m enquanto vestido.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Luvas de Aderência,Item Mágico,Incomum,Vantagem em testes de Movimento para escalar enquanto vestidas.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Anel de Centelha,Item Mágico,Incomum,"Ae(Elétrico, 2) permanente enquanto vestido.",,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Tornozeleira de Velocidade,Item Mágico,Incomum,"+1,5m de Movimento enquanto vestida.",,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Máscara da Coragem,Item Mágico,Incomum,Imune a Amedrontado enquanto vestida.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Vela Eterna,Bugiganga,Incomum,Vela que nunca se apaga naturalmente. Luz fraca 3m.,,5d6+15,Loja,Não-craftável,,Luz,,,,,,,,,,,,,,,,,,,
Bússola de Éter,Bugiganga,Incomum,Aponta para a fonte de Éter mais próxima em 100m.,,5d6+15,Loja,Não-craftável,,Exploração,,,,,,,,,,,,,,,,,,,
Elixir da Perfeição,Consumível,Luxária,+2 em TODOS os atributos. Dura 10 min.,,6d12+80,"Alquimista, Drop CR≥3",Alquimia,5x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Escudo de Karmath,Escudo,Luxária,+4 Defender. Imune a Amedrontado. Brilha com luz Radiante. Item único.,,6d12+80,Único/Quest,Não-craftável,,Escudo,Forjado em devoção a Malkhor — a coragem do pecador que escolhe o caminho difícil.,,,,,,,,,,,,,,,,,,
Cristal da Grande Árvore,Consumível,Luxária,Recupera 2d8 de Éter. +2 Místico por 1h. 1 uso.,,6d12+80,Drop CR≥3,Não-craftável,,Uso Único,Cristalização de seiva pura da Vhelor. Ligação com a árvore.,,,,,,,,,,,,,,,,,,
Grilhões do Abismo,Material,Luxária,Reagente lendário. Necessário para criar a Bomba do Vazio (Alquimista Nv5). Item único.,,6d12+80,Único/Quest,Não-craftável,,,Fragmento da prisão de Osh'Kar. Ressoa com a morte aprisionada.,,,,,,,,,,,,,,,,,,
Capa de Obscurecimento,Item Mágico,Incomum,+2 Furtividade em penumbra ou escuridão.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Poção de Vigor Maior,Consumível,Exótico,Recupera 2d6 de Stamina.,,6d10+40,"Alquimista, Drop CR≥3, Loja",Alquimia,3x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Cinturão de Resistência,Item Mágico,Incomum,+3 de Saúde máxima enquanto vestido.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Pedra de Mensagem,Bugiganga,Incomum,Envia 1 mensagem telepática a até 1km. 1x por descanso longo.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Sinalização,,,,,,,,,,,,,,,,,,,
Areia Temporal,Material,Luxária,Reagente lendário. Necessário para as Lágrimas do Tempo (Alquimista Nv5). Item único.,,6d12+80,Único/Quest,Não-craftável,,,Areia que escoa ao contrário. Fragmento de uma era anterior à Plenitude.,,,,,,,,,,,,,,,,,,
Soro da Guerra,Consumível,Luxária,"+2 Atacar/Defender, +2d6 dano, +3m Movimento. Dura 1 min.",,6d12+80,"Alquimista, Drop CR≥3",Alquimia,5x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Braçadeira Anti-Veneno,Item Mágico,Incomum,"Ae(Veneno, 2) permanente enquanto vestido.",,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Mutagênico Maior,Consumível,Luxária,"+6 em um atributo, -2 em dois outros. Dura 1 hora.",,6d12+80,"Alquimista, Drop CR≥3",Alquimia,5x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Sangue Primordial,Material,Luxária,Reagente lendário. Necessário para o Soro do Homúnculo (Alquimista Nv5). Item único.,,6d12+80,Único/Quest,Não-craftável,,,"Essência vital bruta. Ligação com Vytália, deusa dos seres.",,,,,,,,,,,,,,,,,,
Elixir de Restauração,Consumível,Luxária,"Remove Cego, Surdo, Paralisado ou Atordoado.",,6d12+80,"Alquimista, Drop CR≥3, Loja",Alquimia,5x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Broche do Mercante,Item Mágico,Incomum,+2 Convencimento em negociações enquanto exibido.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Pulseira de Alertas,Item Mágico,Incomum,Não pode ser Desprevenido enquanto vestida.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Arma Leve Perfurante +2,Arma,Exótico,Leve Perfurante. 3d4+2. +4 em Atacar. Ignora 1 de Evasão.,,6d10+40,"Loja, Drop",Ferraria,1x Arma Leve Perfurante +1 + 2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Sino de Alerta,Bugiganga,Incomum,"Pode ser posicionado, caso criatura passe em raio de 3 metros o portador é avisado independente da distância.",,5d6+15,Loja,Não-craftável,,Sinalização,,,,,,,,,,,,,,,,,,,
Sangue do Dragão,Consumível,Luxária,Resistência elemental total. Ataque de Sopro 4d6. Dura 1h.,,6d12+80,"Alquimista, Drop CR≥3",Alquimia,5x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
